id,customer_id,call_datetime,product
1_0,1,2024-07-16 13:04:26,savings
1_1,1,2024-07-18 06:23:45,savings
1_2,1,2024-07-21 00:31:26,investment
1_3,1,2024-07-18 18:57:39,insurance
1_4,1,2024-07-16 15:17:21,insurance
2_0,2,2024-07-20 05:16:17,mortgage
3_0,3,2024-07-15 15:38:56,mortgage
3_1,3,2024-07-18 04:12:35,mortgage
3_2,3,2024-07-18 10:40:47,insurance
3_3,3,2024-07-21 14:40:02,investment
3_4,3,2024-07-21 00:49:16,investment
3_5,3,2024-07-15 10:16:13,mortgage
3_6,3,2024-07-19 15:20:11,savings
4_0,4,2024-07-20 19:11:34,personal loan
4_1,4,2024-07-18 19:39:28,insurance
4_2,4,2024-07-19 08:48:21,personal loan
4_3,4,2024-07-20 17:05:48,mortgage
5_0,5,2024-07-18 18:17:37,savings
6_0,6,2024-07-16 16:49:39,investment
7_0,7,2024-07-17 00:21:53,savings
7_1,7,2024-07-19 20:13:37,personal loan
7_2,7,2024-07-18 19:47:22,personal loan
7_3,7,2024-07-15 13:53:52,insurance
7_4,7,2024-07-16 19:10:52,savings
7_5,7,2024-07-15 10:02:01,savings
7_6,7,2024-07-17 14:50:55,savings
8_0,8,2024-07-19 19:33:20,personal loan
8_1,8,2024-07-17 10:09:20,mortgage
8_2,8,2024-07-15 07:42:05,personal loan
9_0,9,2024-07-20 15:05:51,personal loan
9_1,9,2024-07-19 07:44:41,investment
9_2,9,2024-07-20 10:17:17,insurance
9_3,9,2024-07-21 09:56:57,mortgage
10_0,10,2024-07-20 11:31:18,personal loan
10_1,10,2024-07-16 16:46:50,personal loan
10_2,10,2024-07-15 21:18:35,personal loan
10_3,10,2024-07-17 00:44:35,insurance
10_4,10,2024-07-21 20:36:33,investment
11_0,11,2024-07-18 08:58:19,investment
11_1,11,2024-07-15 13:54:28,savings
11_2,11,2024-07-19 07:38:33,investment
11_3,11,2024-07-18 10:49:55,mortgage
11_4,11,2024-07-17 09:09:53,investment
11_5,11,2024-07-18 18:19:58,investment
12_0,12,2024-07-18 14:12:34,savings
13_0,13,2024-07-18 03:43:35,savings
13_1,13,2024-07-18 23:59:20,savings
13_2,13,2024-07-18 23:23:02,investment
14_0,14,2024-07-17 15:43:13,personal loan
14_1,14,2024-07-16 04:30:30,insurance
14_2,14,2024-07-19 10:00:54,personal loan
14_3,14,2024-07-16 05:26:11,personal loan
14_4,14,2024-07-19 12:58:59,investment
14_5,14,2024-07-16 17:06:57,mortgage
14_6,14,2024-07-16 12:52:56,investment
15_0,15,2024-07-15 18:35:48,personal loan
15_1,15,2024-07-16 05:24:15,insurance
15_2,15,2024-07-21 08:29:37,savings
17_0,17,2024-07-17 17:31:45,mortgage
17_1,17,2024-07-15 16:21:50,personal loan
17_2,17,2024-07-17 21:54:34,savings
18_0,18,2024-07-17 23:23:29,insurance
18_1,18,2024-07-20 17:55:56,mortgage
19_0,19,2024-07-17 13:52:12,savings
19_1,19,2024-07-17 11:12:08,insurance
19_2,19,2024-07-20 17:46:19,personal loan
19_3,19,2024-07-19 09:32:13,mortgage
19_4,19,2024-07-15 07:35:04,insurance
19_5,19,2024-07-16 15:06:58,insurance
21_0,21,2024-07-21 16:11:28,investment
24_0,24,2024-07-21 17:02:07,savings
24_1,24,2024-07-18 14:09:17,investment
24_2,24,2024-07-20 08:50:03,savings
24_3,24,2024-07-20 02:42:13,investment
24_4,24,2024-07-15 11:22:39,investment
24_5,24,2024-07-21 06:52:45,investment
24_6,24,2024-07-16 01:30:24,mortgage
26_0,26,2024-07-15 22:06:52,mortgage
26_1,26,2024-07-20 08:10:14,mortgage
27_0,27,2024-07-18 10:41:52,savings
27_1,27,2024-07-21 16:37:25,personal loan
27_2,27,2024-07-21 02:38:48,personal loan
27_3,27,2024-07-18 10:19:01,personal loan
27_4,27,2024-07-21 09:45:26,personal loan
27_5,27,2024-07-15 22:35:41,personal loan
27_6,27,2024-07-18 02:15:18,insurance
28_0,28,2024-07-21 07:43:02,mortgage
28_1,28,2024-07-15 19:26:48,insurance
28_2,28,2024-07-18 18:37:07,savings
30_0,30,2024-07-19 19:20:02,mortgage
30_1,30,2024-07-19 02:10:08,insurance
30_2,30,2024-07-17 11:44:16,investment
30_3,30,2024-07-20 00:28:16,savings
32_0,32,2024-07-21 03:05:47,savings
33_0,33,2024-07-17 04:14:17,insurance
33_1,33,2024-07-16 02:33:29,personal loan
33_2,33,2024-07-17 12:45:37,mortgage
33_3,33,2024-07-18 06:17:06,personal loan
33_4,33,2024-07-15 18:23:41,mortgage
33_5,33,2024-07-21 07:00:00,insurance
34_0,34,2024-07-19 07:30:56,investment
34_1,34,2024-07-21 10:42:07,mortgage
34_2,34,2024-07-16 02:07:22,mortgage
