id,customer_id,call_datetime,product
0_0,0,2024-07-17 10:22:07,savings
0_1,0,2024-07-18 05:11:00,personal loan
0_2,0,2024-07-15 11:41:32,investment
0_3,0,2024-07-15 20:05:09,investment
0_4,0,2024-07-17 17:13:32,insurance
0_5,0,2024-07-18 14:09:49,savings
2_0,2,2024-07-18 10:15:14,mortgage
2_1,2,2024-07-20 03:56:47,personal loan
2_2,2,2024-07-20 18:50:57,personal loan
3_0,3,2024-07-16 18:44:27,personal loan
4_0,4,2024-07-19 09:04:06,savings
4_1,4,2024-07-17 00:09:53,personal loan
4_2,4,2024-07-21 18:45:13,investment
4_3,4,2024-07-16 17:27:21,savings
4_4,4,2024-07-20 00:07:19,insurance
4_5,4,2024-07-20 23:07:22,insurance
4_6,4,2024-07-16 20:09:11,savings
5_0,5,2024-07-21 16:15:27,investment
5_1,5,2024-07-17 14:34:10,mortgage
5_2,5,2024-07-18 20:28:51,insurance
5_3,5,2024-07-15 23:09:15,savings
7_0,7,2024-07-16 03:11:37,savings
7_1,7,2024-07-21 04:28:35,insurance
7_2,7,2024-07-16 17:21:30,investment
7_3,7,2024-07-17 23:39:55,mortgage
8_0,8,2024-07-20 09:23:26,personal loan
8_1,8,2024-07-20 14:07:47,insurance
8_2,8,2024-07-20 06:55:39,personal loan
9_0,9,2024-07-18 01:52:49,investment
9_1,9,2024-07-21 13:33:41,savings
9_2,9,2024-07-18 05:00:12,insurance
10_0,10,2024-07-18 03:42:27,insurance
10_1,10,2024-07-19 17:50:06,personal loan
10_2,10,2024-07-21 06:48:36,mortgage
10_3,10,2024-07-18 06:44:53,investment
10_4,10,2024-07-16 16:46:07,personal loan
11_0,11,2024-07-21 15:32:37,personal loan
11_1,11,2024-07-16 23:30:38,investment
12_0,12,2024-07-18 13:46:18,insurance
12_1,12,2024-07-18 02:42:41,savings
12_2,12,2024-07-20 22:02:12,investment
12_3,12,2024-07-20 19:06:06,savings
13_0,13,2024-07-16 20:31:39,personal loan
13_1,13,2024-07-17 04:54:18,investment
14_0,14,2024-07-21 18:26:50,insurance
14_1,14,2024-07-18 14:26:52,investment
14_2,14,2024-07-18 22:57:12,investment
14_3,14,2024-07-17 02:35:31,insurance
14_4,14,2024-07-18 05:30:23,mortgage
14_5,14,2024-07-15 13:12:28,insurance
14_6,14,2024-07-17 10:12:17,personal loan
15_0,15,2024-07-16 04:32:02,personal loan
15_1,15,2024-07-21 06:41:19,savings
15_2,15,2024-07-18 07:46:03,insurance
15_3,15,2024-07-20 13:52:05,mortgage
15_4,15,2024-07-20 12:31:25,insurance
16_0,16,2024-07-21 19:37:25,savings
16_1,16,2024-07-16 20:44:51,personal loan
16_2,16,2024-07-18 03:56:41,personal loan
16_3,16,2024-07-16 23:50:52,investment
16_4,16,2024-07-17 23:26:19,personal loan
16_5,16,2024-07-17 22:22:19,mortgage
16_6,16,2024-07-18 21:47:45,investment
17_0,17,2024-07-15 10:38:49,insurance
18_0,18,2024-07-21 15:44:49,insurance
18_1,18,2024-07-16 22:11:32,investment
18_2,18,2024-07-21 11:14:50,savings
19_0,19,2024-07-15 10:15:12,insurance
19_1,19,2024-07-19 09:29:52,mortgage
20_0,20,2024-07-19 13:01:59,investment
20_1,20,2024-07-17 05:29:49,savings
20_2,20,2024-07-21 09:05:20,savings
21_0,21,2024-07-18 05:54:05,personal loan
21_1,21,2024-07-20 07:23:05,mortgage
21_2,21,2024-07-21 14:48:19,savings
22_0,22,2024-07-17 12:55:14,personal loan
22_1,22,2024-07-19 23:32:29,savings
22_2,22,2024-07-16 09:12:24,insurance
22_3,22,2024-07-18 21:30:58,personal loan
23_0,23,2024-07-15 12:49:39,savings
24_0,24,2024-07-18 22:23:50,mortgage
25_0,25,2024-07-20 19:33:47,insurance
25_1,25,2024-07-21 09:20:24,mortgage
26_0,26,2024-07-19 07:11:19,savings
26_1,26,2024-07-18 20:09:56,investment
26_2,26,2024-07-19 13:42:19,personal loan
27_0,27,2024-07-17 06:58:03,savings
27_1,27,2024-07-16 07:17:21,mortgage
27_2,27,2024-07-21 07:28:41,investment
28_0,28,2024-07-16 07:24:48,mortgage
29_0,29,2024-07-18 22:20:48,investment
29_1,29,2024-07-20 02:06:08,personal loan
29_2,29,2024-07-20 06:07:43,insurance
29_3,29,2024-07-21 12:40:49,investment
29_4,29,2024-07-16 09:41:11,personal loan
29_5,29,2024-07-21 03:50:50,personal loan
29_6,29,2024-07-16 19:04:22,savings
30_0,30,2024-07-19 21:46:15,investment
30_1,30,2024-07-16 14:57:03,investment
30_2,30,2024-07-20 09:57:22,insurance
30_3,30,2024-07-20 22:07:51,mortgage
30_4,30,2024-07-15 10:13:19,insurance
30_5,30,2024-07-20 04:06:59,personal loan
31_0,31,2024-07-17 20:09:39,investment
31_1,31,2024-07-19 02:00:37,savings
31_2,31,2024-07-16 21:28:57,personal loan
32_0,32,2024-07-15 10:49:04,investment
32_1,32,2024-07-16 05:06:28,insurance
32_2,32,2024-07-19 20:03:11,savings
32_3,32,2024-07-21 06:23:47,mortgage
32_4,32,2024-07-17 10:29:03,savings
32_5,32,2024-07-21 03:08:31,insurance
33_0,33,2024-07-16 12:22:30,investment
33_1,33,2024-07-21 04:16:51,savings
33_2,33,2024-07-18 03:16:05,insurance
33_3,33,2024-07-21 13:39:51,insurance
34_0,34,2024-07-18 18:59:34,personal loan
34_1,34,2024-07-17 06:28:53,insurance
34_2,34,2024-07-19 18:47:01,personal loan
34_3,34,2024-07-17 00:24:07,investment
34_4,34,2024-07-17 19:10:19,savings
35_0,35,2024-07-20 23:40:22,mortgage
35_1,35,2024-07-16 11:22:35,insurance
35_2,35,2024-07-17 09:06:29,personal loan
35_3,35,2024-07-17 02:32:01,investment
35_4,35,2024-07-18 03:02:02,mortgage
35_5,35,2024-07-21 19:41:48,savings
36_0,36,2024-07-20 07:00:33,mortgage
36_1,36,2024-07-21 15:00:33,insurance
36_2,36,2024-07-15 21:01:53,personal loan
36_3,36,2024-07-17 01:17:59,investment
37_0,37,2024-07-16 18:53:36,investment
37_1,37,2024-07-17 08:27:18,investment
37_2,37,2024-07-21 17:06:41,savings
37_3,37,2024-07-15 20:38:26,insurance
38_0,38,2024-07-17 16:26:21,insurance
38_1,38,2024-07-19 02:53:06,investment
38_2,38,2024-07-16 10:37:51,savings
38_3,38,2024-07-17 22:42:35,insurance
39_0,39,2024-07-16 00:17:43,investment
39_1,39,2024-07-17 00:08:19,insurance
39_2,39,2024-07-16 14:02:14,investment
39_3,39,2024-07-18 03:20:06,savings
39_4,39,2024-07-16 07:50:04,investment
39_5,39,2024-07-18 20:29:44,savings
41_0,41,2024-07-21 08:36:35,insurance
41_1,41,2024-07-21 07:22:21,insurance
41_2,41,2024-07-17 14:59:42,personal loan
41_3,41,2024-07-19 09:02:17,mortgage
41_4,41,2024-07-21 06:32:01,investment
41_5,41,2024-07-15 22:39:57,mortgage
42_0,42,2024-07-20 13:43:20,investment
42_1,42,2024-07-19 04:25:14,mortgage
42_2,42,2024-07-18 02:41:17,personal loan
44_0,44,2024-07-16 18:04:59,investment
44_1,44,2024-07-15 14:23:33,savings
44_2,44,2024-07-20 08:34:16,insurance
44_3,44,2024-07-21 17:47:21,personal loan
44_4,44,2024-07-17 19:41:30,insurance
44_5,44,2024-07-17 08:43:12,mortgage
45_0,45,2024-07-19 14:03:41,personal loan
45_1,45,2024-07-17 08:38:59,insurance
45_2,45,2024-07-20 05:44:38,investment
45_3,45,2024-07-19 10:11:28,insurance
46_0,46,2024-07-15 10:10:35,personal loan
46_1,46,2024-07-16 20:19:15,personal loan
49_0,49,2024-07-20 13:39:59,investment
