id,customer_id,call_datetime,product
1_0,1,2024-07-20 23:49:39,personal loan
1_1,1,2024-07-21 14:52:39,personal loan
1_2,1,2024-07-18 02:15:01,personal loan
1_3,1,2024-07-18 11:28:24,investment
2_0,2,2024-07-21 16:13:42,mortgage
3_0,3,2024-07-19 08:17:22,investment
3_1,3,2024-07-18 00:07:12,investment
3_2,3,2024-07-16 17:31:40,insurance
3_3,3,2024-07-21 09:33:56,mortgage
3_4,3,2024-07-20 13:49:28,investment
3_5,3,2024-07-19 06:03:48,insurance
3_6,3,2024-07-20 16:27:59,mortgage
4_0,4,2024-07-20 15:34:43,mortgage
4_1,4,2024-07-21 11:32:53,insurance
4_2,4,2024-07-21 14:42:35,insurance
4_3,4,2024-07-17 01:38:47,insurance
6_0,6,2024-07-18 20:51:30,investment
6_1,6,2024-07-17 05:00:46,mortgage
6_2,6,2024-07-15 22:08:26,investment
7_0,7,2024-07-15 07:35:27,personal loan
7_1,7,2024-07-19 22:09:23,savings
7_2,7,2024-07-21 16:00:56,insurance
9_0,9,2024-07-16 20:26:53,personal loan
9_1,9,2024-07-17 18:34:30,investment
9_2,9,2024-07-17 10:57:56,investment
9_3,9,2024-07-17 13:51:07,savings
10_0,10,2024-07-21 03:55:34,insurance
10_1,10,2024-07-15 14:19:16,mortgage
11_0,11,2024-07-18 06:53:01,mortgage
11_1,11,2024-07-16 23:37:54,savings
12_0,12,2024-07-21 16:21:25,savings
12_1,12,2024-07-15 10:20:37,investment
12_2,12,2024-07-16 10:53:13,personal loan
12_3,12,2024-07-16 18:53:52,mortgage
12_4,12,2024-07-17 23:45:03,investment
13_0,13,2024-07-18 07:02:32,insurance
13_1,13,2024-07-18 06:37:48,mortgage
13_2,13,2024-07-19 23:39:34,personal loan
14_0,14,2024-07-16 23:29:24,investment
14_1,14,2024-07-18 08:59:17,insurance
14_2,14,2024-07-20 02:57:56,savings
14_3,14,2024-07-19 21:32:09,savings
14_4,14,2024-07-19 20:49:38,savings
14_5,14,2024-07-20 09:02:20,personal loan
14_6,14,2024-07-21 04:21:43,insurance
15_0,15,2024-07-16 22:07:52,savings
15_1,15,2024-07-20 20:10:21,mortgage
15_2,15,2024-07-18 15:44:10,investment
15_3,15,2024-07-19 03:03:56,personal loan
16_0,16,2024-07-18 23:47:12,savings
16_1,16,2024-07-16 14:42:30,investment
16_2,16,2024-07-15 11:08:43,investment
16_3,16,2024-07-16 00:14:01,investment
16_4,16,2024-07-21 10:27:31,personal loan
16_5,16,2024-07-15 10:55:32,personal loan
16_6,16,2024-07-18 05:16:09,mortgage
17_0,17,2024-07-20 03:32:42,savings
17_1,17,2024-07-19 23:39:59,personal loan
17_2,17,2024-07-20 11:08:30,personal loan
17_3,17,2024-07-15 23:49:50,personal loan
17_4,17,2024-07-16 02:47:03,insurance
17_5,17,2024-07-18 18:07:24,investment
17_6,17,2024-07-17 03:10:57,insurance
18_0,18,2024-07-20 21:23:24,personal loan
18_1,18,2024-07-20 04:36:38,personal loan
18_2,18,2024-07-18 22:07:14,savings
18_3,18,2024-07-17 01:08:53,mortgage
19_0,19,2024-07-19 15:56:00,mortgage
19_1,19,2024-07-16 02:00:56,investment
20_0,20,2024-07-21 16:07:41,insurance
21_0,21,2024-07-20 15:02:37,mortgage
21_1,21,2024-07-16 13:00:17,investment
21_2,21,2024-07-16 18:36:09,mortgage
22_0,22,2024-07-19 12:57:29,insurance
22_1,22,2024-07-18 07:27:38,mortgage
22_2,22,2024-07-16 23:43:07,mortgage
23_0,23,2024-07-16 16:44:55,savings
