id,customer_id,call_datetime,product
0_0,0,2024-06-26 13:28:23,savings
1_0,1,2024-06-30 05:22:19,investment
1_1,1,2024-06-24 21:48:47,mortgage
1_2,1,2024-06-26 08:15:43,investment
1_3,1,2024-06-26 08:01:45,mortgage
1_4,1,2024-06-29 12:15:55,mortgage
1_5,1,2024-06-27 00:12:55,mortgage
2_0,2,2024-06-26 16:20:39,savings
2_1,2,2024-06-30 00:54:35,savings
2_2,2,2024-06-28 07:07:42,investment
2_3,2,2024-06-24 23:00:52,personal loan
2_4,2,2024-06-25 04:10:54,savings
2_5,2,2024-06-25 04:07:22,personal loan
3_0,3,2024-06-30 07:34:52,savings
3_1,3,2024-06-30 10:18:53,mortgage
3_2,3,2024-06-28 11:39:59,personal loan
3_3,3,2024-06-27 17:09:02,insurance
3_4,3,2024-06-28 13:27:58,insurance
3_5,3,2024-06-24 22:49:26,savings
3_6,3,2024-06-29 01:08:29,mortgage
4_0,4,2024-06-29 01:45:00,investment
4_1,4,2024-06-25 03:29:13,insurance
4_2,4,2024-06-30 09:58:18,insurance
4_3,4,2024-06-27 21:58:54,mortgage
4_4,4,2024-06-24 23:36:12,mortgage
4_5,4,2024-06-26 20:18:37,mortgage
5_0,5,2024-06-25 02:27:09,investment
5_1,5,2024-06-29 11:56:12,investment
5_2,5,2024-06-27 03:58:47,investment
6_0,6,2024-06-30 12:05:33,mortgage
6_1,6,2024-06-29 20:12:56,personal loan
7_0,7,2024-06-27 19:06:51,mortgage
7_1,7,2024-06-26 14:03:35,savings
7_2,7,2024-06-26 13:39:47,savings
7_3,7,2024-06-30 10:15:23,savings
7_4,7,2024-06-29 06:44:33,insurance
8_0,8,2024-06-29 10:05:53,insurance
8_1,8,2024-06-29 22:46:22,insurance
8_2,8,2024-06-25 04:56:59,personal loan
8_3,8,2024-06-25 05:41:20,investment
8_4,8,2024-06-24 22:39:54,insurance
8_5,8,2024-06-27 10:09:58,personal loan
9_0,9,2024-06-24 14:47:01,mortgage
9_1,9,2024-06-29 20:57:35,insurance
9_2,9,2024-06-24 22:06:34,mortgage
9_3,9,2024-06-29 05:54:51,personal loan
10_0,10,2024-06-26 23:35:31,insurance
10_1,10,2024-06-27 08:57:59,savings
10_2,10,2024-06-25 06:26:20,insurance
10_3,10,2024-06-24 18:38:11,investment
10_4,10,2024-06-26 16:26:29,mortgage
11_0,11,2024-06-27 15:47:32,personal loan
11_1,11,2024-06-30 01:05:09,investment
11_2,11,2024-06-29 17:29:05,savings
11_3,11,2024-06-30 12:51:25,insurance
11_4,11,2024-06-29 05:42:23,insurance
12_0,12,2024-06-25 08:21:51,investment
12_1,12,2024-06-26 12:47:09,insurance
13_0,13,2024-06-29 19:49:49,investment
13_1,13,2024-06-25 12:54:21,savings
13_2,13,2024-06-25 19:08:57,savings
14_0,14,2024-06-29 20:55:47,mortgage
14_1,14,2024-06-29 21:25:00,savings
14_2,14,2024-06-25 04:51:00,insurance
14_3,14,2024-06-26 00:14:25,insurance
14_4,14,2024-06-26 06:00:12,investment
14_5,14,2024-06-25 12:27:43,insurance
14_6,14,2024-06-29 16:44:47,savings
15_0,15,2024-06-26 19:56:21,savings
16_0,16,2024-06-30 18:36:58,savings
16_1,16,2024-06-27 06:07:08,personal loan
16_2,16,2024-06-28 22:27:04,savings
16_3,16,2024-06-28 20:43:29,personal loan
16_4,16,2024-06-24 13:52:00,mortgage
17_0,17,2024-06-28 06:44:50,mortgage
17_1,17,2024-06-30 16:44:50,mortgage
17_2,17,2024-06-29 23:30:53,mortgage
17_3,17,2024-06-29 08:52:40,insurance
17_4,17,2024-06-26 03:59:37,investment
18_0,18,2024-06-30 14:24:55,mortgage
19_0,19,2024-06-26 12:57:03,investment
19_1,19,2024-06-30 14:24:30,mortgage
19_2,19,2024-06-28 13:30:29,personal loan
19_3,19,2024-06-24 11:29:14,savings
