id,customer_id,call_datetime,product
0_0,0,2024-07-18 03:41:36,insurance
0_1,0,2024-07-19 01:03:34,insurance
2_0,2,2024-07-15 08:34:14,insurance
2_1,2,2024-07-21 01:39:09,investment
2_2,2,2024-07-20 07:35:32,insurance
2_3,2,2024-07-16 07:09:31,mortgage
2_4,2,2024-07-19 01:37:45,mortgage
2_5,2,2024-07-20 02:37:02,investment
4_0,4,2024-07-17 21:48:34,savings
4_1,4,2024-07-21 18:07:54,mortgage
4_2,4,2024-07-17 18:59:54,personal loan
4_3,4,2024-07-18 23:22:31,insurance
4_4,4,2024-07-18 01:15:44,personal loan
4_5,4,2024-07-17 06:41:27,savings
5_0,5,2024-07-15 16:57:09,investment
5_1,5,2024-07-18 03:16:34,personal loan
5_2,5,2024-07-19 14:10:39,savings
5_3,5,2024-07-16 15:24:39,insurance
5_4,5,2024-07-16 02:31:54,investment
5_5,5,2024-07-17 13:28:09,savings
5_6,5,2024-07-17 17:05:40,insurance
6_0,6,2024-07-16 09:17:33,insurance
6_1,6,2024-07-18 15:25:19,investment
8_0,8,2024-07-16 04:17:43,investment
8_1,8,2024-07-20 03:32:27,investment
8_2,8,2024-07-18 02:18:29,personal loan
8_3,8,2024-07-21 01:34:52,mortgage
8_4,8,2024-07-20 18:37:03,savings
9_0,9,2024-07-18 03:45:58,investment
9_1,9,2024-07-16 21:22:34,investment
9_2,9,2024-07-15 18:25:23,insurance
9_3,9,2024-07-17 09:59:30,personal loan
9_4,9,2024-07-19 17:41:46,savings
9_5,9,2024-07-15 17:38:50,personal loan
9_6,9,2024-07-21 15:21:28,investment
10_0,10,2024-07-18 00:39:23,investment
10_1,10,2024-07-17 19:27:14,personal loan
10_2,10,2024-07-17 04:27:59,investment
10_3,10,2024-07-21 17:02:40,mortgage
10_4,10,2024-07-20 19:58:30,savings
12_0,12,2024-07-16 17:05:01,mortgage
12_1,12,2024-07-15 09:58:20,savings
12_2,12,2024-07-21 15:03:50,personal loan
12_3,12,2024-07-20 08:06:30,investment
13_0,13,2024-07-19 20:35:08,mortgage
13_1,13,2024-07-21 10:13:22,insurance
13_2,13,2024-07-17 04:14:58,savings
13_3,13,2024-07-17 00:05:32,insurance
13_4,13,2024-07-18 09:16:33,personal loan
15_0,15,2024-07-20 11:53:47,personal loan
15_1,15,2024-07-21 15:43:39,personal loan
15_2,15,2024-07-17 23:42:30,savings
16_0,16,2024-07-16 07:43:59,savings
17_0,17,2024-07-16 10:29:08,savings
17_1,17,2024-07-15 14:52:01,investment
17_2,17,2024-07-17 19:02:10,savings
18_0,18,2024-07-19 05:50:50,mortgage
19_0,19,2024-07-20 07:00:20,personal loan
19_1,19,2024-07-15 21:14:14,savings
19_2,19,2024-07-16 03:59:00,savings
19_3,19,2024-07-15 09:14:03,personal loan
19_4,19,2024-07-17 09:14:15,personal loan
20_0,20,2024-07-16 04:12:38,mortgage
20_1,20,2024-07-17 15:56:31,mortgage
21_0,21,2024-07-19 18:24:29,investment
21_1,21,2024-07-18 03:00:32,investment
21_2,21,2024-07-18 03:54:05,investment
21_3,21,2024-07-18 10:14:18,insurance
21_4,21,2024-07-20 03:00:37,investment
22_0,22,2024-07-20 01:04:48,mortgage
22_1,22,2024-07-15 10:02:04,savings
22_2,22,2024-07-20 03:53:03,savings
22_3,22,2024-07-21 03:00:04,personal loan
22_4,22,2024-07-15 15:48:55,savings
22_5,22,2024-07-15 19:52:23,savings
22_6,22,2024-07-20 07:22:11,mortgage
23_0,23,2024-07-21 12:02:34,savings
23_1,23,2024-07-19 20:55:14,mortgage
23_2,23,2024-07-20 20:32:21,savings
24_0,24,2024-07-17 14:00:54,savings
24_1,24,2024-07-18 21:52:08,mortgage
24_2,24,2024-07-18 00:08:11,personal loan
25_0,25,2024-07-17 13:38:31,mortgage
25_1,25,2024-07-16 16:46:12,investment
25_2,25,2024-07-17 04:49:36,personal loan
25_3,25,2024-07-21 13:55:26,investment
25_4,25,2024-07-19 00:42:24,personal loan
25_5,25,2024-07-20 11:09:32,personal loan
27_0,27,2024-07-16 09:45:23,insurance
27_1,27,2024-07-18 06:41:32,investment
27_2,27,2024-07-15 15:42:06,insurance
27_3,27,2024-07-17 13:44:21,mortgage
28_0,28,2024-07-19 13:19:24,savings
28_1,28,2024-07-18 01:05:52,personal loan
28_2,28,2024-07-21 14:49:25,insurance
28_3,28,2024-07-20 22:05:32,savings
28_4,28,2024-07-21 13:55:27,personal loan
29_0,29,2024-07-21 19:44:26,investment
29_1,29,2024-07-16 14:03:49,personal loan
29_2,29,2024-07-20 16:34:21,personal loan
29_3,29,2024-07-16 16:02:40,mortgage
29_4,29,2024-07-16 02:33:28,investment
29_5,29,2024-07-20 06:56:02,investment
